{'股票代码': 'SZ000001', '股票价格': '17.76'}
{'股票代码': 'SZ000523', '股票价格': '3.99'}
{'股票代码': 'SZ000524', '股票价格': '6.88'}
{'股票代码': 'SZ000525', '股票价格': '4.07'}
{'股票代码': 'SZ000526', '股票价格': '19.67'}
{'股票代码': 'SZ000528', '股票价格': '7.34'}
{'股票代码': 'SZ000529', '股票价格': '4.95'}
{'股票代码': 'SZ000530', '股票价格': '3.57'}
{'股票代码': 'SZ000531', '股票价格': '7.20'}
{'股票代码': 'SZ000532', '股票价格': '14.09'}
{'股票代码': 'SZ000533', '股票价格': '2.80'}
{'股票代码': 'SZ000534', '股票价格': '13.13'}
{'股票代码': 'SZ000536', '股票价格': '2.47'}
{'股票代码': 'SZ000537', '股票价格': '4.45'}
{'股票代码': 'SZ000538', '股票价格': '100.70'}
{'股票代码': 'SZ000539', '股票价格': '3.93'}
{'股票代码': 'SZ000540', '股票价格': '2.28'}
{'股票代码': 'SZ000541', '股票价格': '5.91'}
{'股票代码': 'SZ000543', '股票价格': '3.55'}
{'股票代码': 'SZ000544', '股票价格': '6.12'}
{'股票代码': 'SZ000545', '股票价格': '3.79'}
{'股票代码': 'SZ000546', '股票价格': '6.43'}
{'股票代码': 'SZ000547', '股票价格': '19.68'}
{'股票代码': 'SZ000548', '股票价格': '4.13'}
{'股票代码': 'SZ000550', '股票价格': '19.26'}
{'股票代码': 'SZ000551', '股票价格': '10.75'}
{'股票代码': 'SZ000552', '股票价格': '2.85'}
{'股票代码': 'SZ000553', '股票价格': '9.71'}
{'股票代码': 'SZ000554', '股票价格': '4.37'}
{'股票代码': 'SZ000555', '股票价格': '13.10'}
{'股票代码': 'SZ000557', '股票价格': '3.39'}
{'股票代码': 'SZ000558', '股票价格': '2.61'}
{'股票代码': 'SZ000559', '股票价格': '5.70'}
{'股票代码': 'SZ000560', '股票价格': '3.71'}
{'股票代码': 'SZ000561', '股票价格': '8.51'}
{'股票代码': 'SZ000563', '股票价格': '3.17'}
{'股票代码': 'SZ000564', '股票价格': '2.39'}
{'股票代码': 'SZ000565', '股票价格': '5.80'}
{'股票代码': 'SZ000566', '股票价格': '4.83'}
{'股票代码': 'SZ000567', '股票价格': '12.54'}
{'股票代码': 'SZ000568', '股票价格': '190.00'}
{'股票代码': 'SZ000570', '股票价格': '5.95'}
{'股票代码': 'SZ000571', '股票价格': '1.96'}
{'股票代码': 'SZ000572', '股票价格': '6.67'}
{'股票代码': 'SZ000573', '股票价格': '2.90'}
{'股票代码': 'SZ000576', '股票价格': '11.12'}
{'股票代码': 'SZ000581', '股票价格': '20.83'}
{'股票代码': 'SZ000582', '股票价格': '7.98'}
{'股票代码': 'SZ000584', '股票价格': '5.92'}
{'股票代码': 'SZ000585', '股票价格': '1.57'}
{'股票代码': 'SZ000586', '股票价格': '7.87'}
{'股票代码': 'SZ000587', '股票价格': '1.50'}
{'股票代码': 'SZ000589', '股票价格': '5.49'}
{'股票代码': 'SZ000590', '股票价格': '8.44'}
{'股票代码': 'SZ000591', '股票价格': '6.54'}
{'股票代码': 'SZ000592', '股票价格': '2.88'}
{'股票代码': 'SZ000593', '股票价格': '4.83'}
{'股票代码': 'SZ000595', '股票价格': '2.79'}
{'股票代码': 'SZ000596', '股票价格': '199.50'}
{'股票代码': 'SZ000597', '股票价格': '5.14'}
{'股票代码': 'SZ000598', '股票价格': '5.12'}
{'股票代码': 'SZ000599', '股票价格': '3.78'}
{'股票代码': 'SZ000600', '股票价格': '4.35'}
{'股票代码': 'SZ000601', '股票价格': '4.91'}
{'股票代码': 'SZ000603', '股票价格': '13.09'}
{'股票代码': 'SZ000605', '股票价格': '5.02'}
{'股票代码': 'SZ000606', '股票价格': '2.19'}
{'股票代码': 'SZ000607', '股票价格': '3.39'}
{'股票代码': 'SZ000608', '股票价格': '3.37'}
{'股票代码': 'SZ000609', '股票价格': '3.04'}
{'股票代码': 'SZ000610', '股票价格': '8.94'}
{'股票代码': 'SZ000611', '股票价格': '4.16'}
{'股票代码': 'SZ000612', '股票价格': '8.09'}
{'股票代码': 'SZ000613', '股票价格': '3.32'}
{'股票代码': 'SZ000615', '股票价格': '16.25'}
{'股票代码': 'SZ000616', '股票价格': '1.86'}
{'股票代码': 'SZ000617', '股票价格': '5.21'}
{'股票代码': 'SZ000619', '股票价格': '5.07'}
{'股票代码': 'SZ000620', '股票价格': '2.12'}
{'股票代码': 'SZ000622', '股票价格': '3.35'}
{'股票代码': 'SZ000623', '股票价格': '14.98'}
{'股票代码': 'SZ000625', '股票价格': '17.90'}
{'股票代码': 'SZ000626', '股票价格': '23.86'}
{'股票代码': 'SZ000627', '股票价格': '3.48'}
{'股票代码': 'SZ000628', '股票价格': '7.85'}
{'股票代码': 'SZ000629', '股票价格': '2.75'}
{'股票代码': 'SZ000630', '股票价格': '3.66'}
{'股票代码': 'SZ000631', '股票价格': '2.90'}
{'股票代码': 'SZ000632', '股票价格': '3.34'}
{'股票代码': 'SZ000633', '股票价格': '7.75'}
{'股票代码': 'SZ000635', '股票价格': '11.39'}
{'股票代码': 'SZ000636', '股票价格': '35.93'}
{'股票代码': 'SZ000637', '股票价格': '4.07'}
{'股票代码': 'SZ000638', '股票价格': '4.76'}
{'股票代码': 'SZ000639', '股票价格': '5.23'}
{'股票代码': 'SZ000650', '股票价格': '9.70'}
{'股票代码': 'SZ000651', '股票价格': '46.76'}
{'股票代码': 'SH603486', '股票价格': '174.02'}
{'股票代码': 'SH601138', '股票价格': '11.28'}
{'股票代码': 'SH601330', '股票价格': '8.31'}
{'股票代码': 'SZ300750', '股票价格': '495.00'}
{'股票代码': 'SH603666', '股票价格': '59.70'}
{'股票代码': 'SH601990', '股票价格': '10.50'}
{'股票代码': 'SH601066', '股票价格': '26.92'}
{'股票代码': 'SH603587', '股票价格': '21.61'}
{'股票代码': 'SZ300747', '股票价格': '106.99'}
{'股票代码': 'SH603650', '股票价格': '67.00'}
{'股票代码': 'SH603693', '股票价格': '13.79'}
{'股票代码': 'SZ000652', '股票价格': '3.95'}
{'股票代码': 'SZ000655', '股票价格': '11.39'}
{'股票代码': 'SZ000656', '股票价格': '4.28'}
{'股票代码': 'SZ000657', '股票价格': '14.29'}
{'股票代码': 'SZ000659', '股票价格': '4.67'}
{'股票代码': 'SZ000661', '股票价格': '302.98'}
{'股票代码': 'SZ000663', '股票价格': '11.00'}
{'股票代码': 'SZ000665', '股票价格': '3.60'}
{'股票代码': 'SZ000666', '股票价格': '8.06'}
{'股票代码': 'SZ000667', '股票价格': '1.61'}
{'股票代码': 'SZ000668', '股票价格': '15.66'}
{'股票代码': 'SZ000669', '股票价格': '1.96'}
{'股票代码': 'SZ000670', '股票价格': '0.00'}
{'股票代码': 'SZ000671', '股票价格': '4.34'}
{'股票代码': 'SZ000672', '股票价格': '16.10'}
{'股票代码': 'SZ000673', '股票价格': '1.71'}
{'股票代码': 'SZ000676', '股票价格': '5.48'}
{'股票代码': 'SZ000677', '股票价格': '2.98'}
{'股票代码': 'SZ000678', '股票价格': '4.84'}
{'股票代码': 'SZ000679', '股票价格': '3.50'}
{'股票代码': 'SZ000680', '股票价格': '3.78'}
{'股票代码': 'SZ000681', '股票价格': '11.86'}
{'股票代码': 'SZ000682', '股票价格': '4.68'}
{'股票代码': 'SZ000683', '股票价格': '7.67'}
{'股票代码': 'SZ000685', '股票价格': '7.72'}
{'股票代码': 'SZ000686', '股票价格': '8.09'}
{'股票代码': 'SZ000687', '股票价格': '2.11'}
{'股票代码': 'SZ000688', '股票价格': '9.92'}
{'股票代码': 'SZ000690', '股票价格': '5.02'}
{'股票代码': 'SZ000691', '股票价格': '4.64'}
{'股票代码': 'SZ000692', '股票价格': '2.95'}
{'股票代码': 'SZ000695', '股票价格': '6.80'}
{'股票代码': 'SZ000697', '股票价格': '8.65'}
{'股票代码': 'SZ000698', '股票价格': '6.02'}
{'股票代码': 'SZ000700', '股票价格': '5.44'}
{'股票代码': 'SZ000701', '股票价格': '5.65'}
{'股票代码': 'SZ000702', '股票价格': '4.29'}
{'股票代码': 'SZ000703', '股票价格': '12.10'}
{'股票代码': 'SZ000705', '股票价格': '7.01'}
{'股票代码': 'SZ000707', '股票价格': '6.09'}
{'股票代码': 'SZ000708', '股票价格': '21.40'}
{'股票代码': 'SZ000709', '股票价格': '2.62'}
{'股票代码': 'SZ000710', '股票价格': '26.07'}
{'股票代码': 'SZ000711', '股票价格': '3.07'}
{'股票代码': 'SZ000712', '股票价格': '16.43'}
{'股票代码': 'SZ000713', '股票价格': '9.86'}
{'股票代码': 'SZ000715', '股票价格': '4.63'}
{'股票代码': 'SZ000716', '股票价格': '3.27'}
{'股票代码': 'SZ000717', '股票价格': '4.52'}
{'股票代码': 'SZ000718', '股票价格': '5.81'}
{'股票代码': 'SZ000719', '股票价格': '6.58'}
{'股票代码': 'SZ000720', '股票价格': '4.28'}
{'股票代码': 'SZ000721', '股票价格': '3.95'}
{'股票代码': 'SZ000722', '股票价格': '6.31'}
{'股票代码': 'SZ000723', '股票价格': '8.30'}
{'股票代码': 'SZ000725', '股票价格': '5.92'}
{'股票代码': 'SZ000726', '股票价格': '5.57'}
{'股票代码': 'SZ000727', '股票价格': '2.47'}
{'股票代码': 'SZ000728', '股票价格': '7.33'}
{'股票代码': 'SZ000729', '股票价格': '6.43'}
{'股票代码': 'SZ000731', '股票价格': '6.30'}
{'股票代码': 'SZ000732', '股票价格': '1.95'}
{'股票代码': 'SZ000733', '股票价格': '79.10'}
{'股票代码': 'SZ000735', '股票价格': '6.97'}
{'股票代码': 'SZ000736', '股票价格': '5.61'}
{'股票代码': 'SZ000737', '股票价格': '9.08'}
{'股票代码': 'SZ000738', '股票价格': '21.04'}
{'股票代码': 'SZ000739', '股票价格': '27.48'}
{'股票代码': 'SZ000750', '股票价格': '4.04'}
{'股票代码': 'SZ000751', '股票价格': '3.59'}
{'股票代码': 'SZ000752', '股票价格': '6.03'}
{'股票代码': 'SZ000753', '股票价格': '2.52'}
{'股票代码': 'SZ000755', '股票价格': '3.25'}
{'股票代码': 'SZ000756', '股票价格': '8.17'}
{'股票代码': 'SZ000757', '股票价格': '3.76'}
{'股票代码': 'SZ000758', '股票价格': '5.43'}
{'股票代码': 'SZ000759', '股票价格': '4.83'}
{'股票代码': 'SZ000760', '股票价格': '0.00'}
{'股票代码': 'SZ000761', '股票价格': '4.75'}
{'股票代码': 'SZ000762', '股票价格': '44.02'}
{'股票代码': 'SZ000766', '股票价格': '5.30'}
{'股票代码': 'SZ000767', '股票价格': '3.07'}
{'股票代码': 'SZ000768', '股票价格': '27.80'}
{'股票代码': 'SZ000776', '股票价格': '15.40'}
{'股票代码': 'SZ000777', '股票价格': '11.11'}
{'股票代码': 'SZ000778', '股票价格': '3.98'}
{'股票代码': 'SZ000779', '股票价格': '8.50'}
{'股票代码': 'SZ000780', '股票价格': '6.15'}
{'股票代码': 'SZ000782', '股票价格': '4.27'}
{'股票代码': 'SZ000783', '股票价格': '6.99'}
{'股票代码': 'SZ000785', '股票价格': '5.18'}
{'股票代码': 'SZ000786', '股票价格': '33.58'}
{'股票代码': 'SZ000788', '股票价格': '6.80'}
{'股票代码': 'SZ000789', '股票价格': '10.52'}
{'股票代码': 'SZ000790', '股票价格': '5.60'}
{'股票代码': 'SZ000791', '股票价格': '4.02'}
{'股票代码': 'SZ000792', '股票价格': '0.00'}
{'股票代码': 'SZ000793', '股票价格': '2.36'}
{'股票代码': 'SZ000795', '股票价格': '5.46'}
{'股票代码': 'SZ000796', '股票价格': '7.56'}
{'股票代码': 'SZ000797', '股票价格': '2.86'}
{'股票代码': 'SZ000798', '股票价格': '6.78'}
{'股票代码': 'SZ000799', '股票价格': '211.50'}
{'股票代码': 'SZ000800', '股票价格': '10.72'}
{'股票代码': 'SZ000801', '股票价格': '7.10'}
{'股票代码': 'SZ000802', '股票价格': '4.79'}
{'股票代码': 'SZ000803', '股票价格': '15.14'}
{'股票代码': 'SZ000806', '股票价格': '3.16'}
{'股票代码': 'SZ000807', '股票价格': '13.08'}
{'股票代码': 'SZ000809', '股票价格': '1.97'}
{'股票代码': 'SZ000810', '股票价格': '8.72'}
{'股票代码': 'SZ000811', '股票价格': '11.35'}
{'股票代码': 'SZ000812', '股票价格': '3.08'}
{'股票代码': 'SZ000813', '股票价格': '4.11'}
{'股票代码': 'SZ000815', '股票价格': '4.94'}
{'股票代码': 'SZ000816', '股票价格': '2.78'}
{'股票代码': 'SZ000818', '股票价格': '33.77'}
{'股票代码': 'SZ000819', '股票价格': '6.16'}
{'股票代码': 'SZ000820', '股票价格': '3.86'}
{'股票代码': 'SZ000821', '股票价格': '12.21'}
{'股票代码': 'SZ000822', '股票价格': '9.67'}
{'股票代码': 'SZ000823', '股票价格': '11.54'}
{'股票代码': 'SZ000825', '股票价格': '9.67'}
{'股票代码': 'SZ000826', '股票价格': '4.66'}
{'股票代码': 'SZ000828', '股票价格': '10.83'}
{'股票代码': 'SZ000829', '股票价格': '7.52'}
{'股票代码': 'SZ000830', '股票价格': '20.00'}
{'股票代码': 'SZ000831', '股票价格': '30.00'}
{'股票代码': 'SZ000833', '股票价格': '4.76'}
{'股票代码': 'SZ000835', '股票价格': '3.24'}
{'股票代码': 'SZ000836', '股票价格': '2.24'}
{'股票代码': 'SZ000837', '股票价格': '7.89'}
{'股票代码': 'SZ000838', '股票价格': '2.60'}
{'股票代码': 'SZ000839', '股票价格': '2.16'}
{'股票代码': 'SZ000848', '股票价格': '9.58'}
{'股票代码': 'SZ000850', '股票价格': '3.54'}
{'股票代码': 'SZ000851', '股票价格': '6.14'}
{'股票代码': 'SZ000852', '股票价格': '4.52'}
{'股票代码': 'SZ000856', '股票价格': '6.68'}
{'股票代码': 'SZ000858', '股票价格': '231.15'}
{'股票代码': 'SZ000859', '股票价格': '6.25'}
{'股票代码': 'SZ000860', '股票价格': '31.91'}
{'股票代码': 'SZ000861', '股票价格': '1.90'}
{'股票代码': 'SZ000862', '股票价格': '5.88'}
{'股票代码': 'SZ000863', '股票价格': '3.24'}
{'股票代码': 'SZ000868', '股票价格': '4.03'}
{'股票代码': 'SZ000869', '股票价格': '31.99'}
{'股票代码': 'SZ000875', '股票价格': '5.03'}
{'股票代码': 'SZ000876', '股票价格': '11.17'}
{'股票代码': 'SZ000877', '股票价格': '13.18'}
{'股票代码': 'SZ000878', '股票价格': '14.01'}
{'股票代码': 'SZ000880', '股票价格': '7.16'}
{'股票代码': 'SZ000881', '股票价格': '9.34'}
{'股票代码': 'SZ000882', '股票价格': '1.82'}
{'股票代码': 'SZ000883', '股票价格': '4.19'}
{'股票代码': 'SZ000885', '股票价格': '9.42'}
{'股票代码': 'SZ000886', '股票价格': '4.30'}
{'股票代码': 'SZ000887', '股票价格': '14.04'}
{'股票代码': 'SZ000888', '股票价格': '6.06'}
{'股票代码': 'SZ000889', '股票价格': '3.37'}
{'股票代码': 'SZ000890', '股票价格': '4.94'}
{'股票代码': 'SZ000892', '股票价格': '2.65'}
{'股票代码': 'SZ000893', '股票价格': '23.50'}
{'股票代码': 'SZ000895', '股票价格': '26.00'}
{'股票代码': 'SZ000897', '股票价格': '1.93'}
{'股票代码': 'SZ000898', '股票价格': '4.55'}
{'股票代码': 'SZ000899', '股票价格': '4.56'}
{'股票代码': 'SZ000900', '股票价格': '4.03'}
{'股票代码': 'SZ000901', '股票价格': '8.62'}
{'股票代码': 'SZ000902', '股票价格': '18.02'}
{'股票代码': 'SZ000903', '股票价格': '3.59'}
{'股票代码': 'SZ000905', '股票价格': '6.36'}
{'股票代码': 'SZ000906', '股票价格': '11.58'}
{'股票代码': 'SZ000908', '股票价格': '4.61'}
{'股票代码': 'SZ000909', '股票价格': '6.59'}
{'股票代码': 'SZ000910', '股票价格': '12.14'}
{'股票代码': 'SZ000911', '股票价格': '9.70'}
{'股票代码': 'SZ000912', '股票价格': '4.59'}
{'股票代码': 'SZ000913', '股票价格': '13.90'}
{'股票代码': 'SZ000915', '股票价格': '27.60'}
{'股票代码': 'SZ000917', '股票价格': '5.65'}
{'股票代码': 'SZ000918', '股票价格': '3.84'}
{'股票代码': 'SZ000919', '股票价格': '6.91'}
{'股票代码': 'SZ000920', '股票价格': '8.56'}
{'股票代码': 'SZ000921', '股票价格': '12.04'}
{'股票代码': 'SZ000922', '股票价格': '6.92'}
{'股票代码': 'SZ000923', '股票价格': '19.79'}
{'股票代码': 'SZ000925', '股票价格': '8.22'}
{'股票代码': 'SZ000926', '股票价格': '4.00'}
{'股票代码': 'SZ000927', '股票价格': '3.24'}
{'股票代码': 'SZ000928', '股票价格': '9.37'}
{'股票代码': 'SZ000929', '股票价格': '9.29'}
{'股票代码': 'SZ000930', '股票价格': '8.97'}
{'股票代码': 'SZ000931', '股票价格': '6.07'}
{'股票代码': 'SZ000932', '股票价格': '7.04'}
{'股票代码': 'SZ000933', '股票价格': '10.89'}
{'股票代码': 'SZ000935', '股票价格': '17.10'}
{'股票代码': 'SZ000936', '股票价格': '7.07'}
{'股票代码': 'SZ000937', '股票价格': '4.01'}
{'股票代码': 'SZ000938', '股票价格': '28.00'}
{'股票代码': 'SZ000948', '股票价格': '11.08'}
{'股票代码': 'SZ000949', '股票价格': '7.03'}
{'股票代码': 'SZ000950', '股票价格': '4.92'}
{'股票代码': 'SZ000951', '股票价格': '22.77'}
{'股票代码': 'SZ000952', '股票价格': '7.88'}
{'股票代码': 'SZ000953', '股票价格': '4.44'}
{'股票代码': 'SZ000955', '股票价格': '4.41'}
{'股票代码': 'SZ000957', '股票价格': '5.15'}
{'股票代码': 'SZ000958', '股票价格': '4.17'}
{'股票代码': 'SZ000959', '股票价格': '6.27'}
{'股票代码': 'SZ000960', '股票价格': '17.35'}
{'股票代码': 'SZ000961', '股票价格': '4.55'}
{'股票代码': 'SZ000962', '股票价格': '11.13'}
{'股票代码': 'SZ000963', '股票价格': '34.78'}
{'股票代码': 'SZ000965', '股票价格': '2.32'}
{'股票代码': 'SZ000966', '股票价格': '10.66'}
{'股票代码': 'SZ000967', '股票价格': '6.33'}
{'股票代码': 'SZ000968', '股票价格': '5.78'}
{'股票代码': 'SZ000969', '股票价格': '9.55'}
{'股票代码': 'SZ000970', '股票价格': '10.57'}
{'股票代码': 'SZ000971', '股票价格': '2.33'}
{'股票代码': 'SZ000972', '股票价格': '1.83'}
{'股票代码': 'SZ000973', '股票价格': '4.62'}
{'股票代码': 'SZ000975', '股票价格': '9.50'}
{'股票代码': 'SZ000976', '股票价格': '5.31'}
{'股票代码': 'SZ000977', '股票价格': '29.59'}
{'股票代码': 'SZ000978', '股票价格': '4.78'}
{'股票代码': 'SZ000980', '股票价格': '6.66'}
{'股票代码': 'SZ000981', '股票价格': '1.98'}
{'股票代码': 'SZ000982', '股票价格': '2.29'}
{'股票代码': 'SZ000983', '股票价格': '8.18'}
{'股票代码': 'SZ000985', '股票价格': '11.53'}
{'股票代码': 'SZ000987', '股票价格': '11.22'}
{'股票代码': 'SZ000988', '股票价格': '27.30'}
{'股票代码': 'SZ000989', '股票价格': '9.04'}
{'股票代码': 'SZ000990', '股票价格': '15.09'}
{'股票代码': 'SZ000993', '股票价格': '9.97'}
{'股票代码': 'SZ000995', '股票价格': '22.15'}
{'股票代码': 'SZ000996', '股票价格': '8.55'}
{'股票代码': 'SZ000997', '股票价格': '15.07'}
{'股票代码': 'SZ000998', '股票价格': '18.87'}
{'股票代码': 'SZ000999', '股票价格': '23.55'}
{'股票代码': 'SZ001696', '股票价格': '7.56'}
{'股票代码': 'SZ001896', '股票价格': '6.92'}
{'股票代码': 'SZ001965', '股票价格': '7.13'}
{'股票代码': 'SZ001979', '股票价格': '10.46'}
{'股票代码': 'SZ002001', '股票价格': '25.78'}
{'股票代码': 'SZ002002', '股票价格': '4.50'}
{'股票代码': 'SZ002003', '股票价格': '7.13'}
{'股票代码': 'SZ002004', '股票价格': '5.43'}
{'股票代码': 'SZ002005', '股票价格': '1.70'}
{'股票代码': 'SZ002006', '股票价格': '10.18'}
{'股票代码': 'SZ002007', '股票价格': '35.89'}
{'股票代码': 'SZ002008', '股票价格': '36.20'}
{'股票代码': 'SZ002009', '股票价格': '11.85'}
{'股票代码': 'SZ002010', '股票价格': '7.53'}
{'股票代码': 'SZ002011', '股票价格': '5.51'}
{'股票代码': 'SZ002012', '股票价格': '5.65'}
{'股票代码': 'SZ002013', '股票价格': '10.12'}
{'股票代码': 'SZ002014', '股票价格': '8.53'}
{'股票代码': 'SZ002015', '股票价格': '8.70'}
{'股票代码': 'SZ002016', '股票价格': '5.83'}
{'股票代码': 'SZ002017', '股票价格': '10.47'}
{'股票代码': 'SZ002019', '股票价格': '13.59'}
{'股票代码': 'SZ002020', '股票价格': '7.73'}
{'股票代码': 'SZ002021', '股票价格': '1.97'}
{'股票代码': 'SZ002022', '股票价格': '13.15'}
{'股票代码': 'SZ002023', '股票价格': '15.59'}
{'股票代码': 'SZ002024', '股票价格': '5.51'}
{'股票代码': 'SZ002025', '股票价格': '59.78'}
{'股票代码': 'SZ002026', '股票价格': '12.02'}
{'股票代码': 'SZ002027', '股票价格': '7.25'}
{'股票代码': 'SZ002028', '股票价格': '26.58'}
{'股票代码': 'SZ002029', '股票价格': '5.71'}
{'股票代码': 'SZ002030', '股票价格': '18.09'}
{'股票代码': 'SZ002031', '股票价格': '1.89'}
{'股票代码': 'SZ002032', '股票价格': '51.11'}
{'股票代码': 'SZ002033', '股票价格': '5.93'}
